Unnamed: 0,Job Id,Salary Range (K),Min Salary (K),Max Salary (K),Work Type,Job Posting Date,Job Title,Job Description,skills,Company,Broader Category,Average Salary (K),Year-Quarter,Job Minimum Experience,Job Maximum Experience,Job URL,Job Salary Range
6298.0,2710809537086279.0,34.0,57.0,91.0,Intern,2022-08-22,Social Worker,"Work with at-risk children and families, assess needs, provide support, and ensure child safety and well-being.","['Child welfare policies and regulations', 'Child protective services', 'Child development', 'Crisis intervention', 'Case management', 'Cultural competence', 'Interviewing and assessment skills', 'Court procedures', 'Documentation', 'Empathy', 'Communication skills']",Chewy,Legal Services,74.0,2022Q3,3.0,12.0,,
6388.0,723564000000000.0,65.0,64.0,129.0,Contract,2023-01-30,Operations Manager,"Quality Control Managers establish and enforce quality standards within an organization. They develop quality control processes, perform inspections, and implement corrective actions to maintain product or service quality.","['Quality control processes and methodologies', 'Statistical process control', 'SPC', 'Root cause analysis and corrective action', 'Quality management systems', 'O 9001', 'Compliance and regulatory knowledge']",Infineon Technologies AG,Business,96.5,2023Q1,2.0,12.0,,
6712.0,1883132340918574.0,49.0,59.0,108.0,Intern,2023-11-05,Marketing Manager,"Product Marketing Managers promote and market products or services. They create marketing strategies, conduct market research, develop messaging, and collaborate with cross-functional teams to launch and promote products effectively in the market.","['Product positioning and messaging', 'Market research and analysis', 'Product launch planning', 'Competitive analysis', 'Marketing collateral creation', 'Pricing strategies', 'Cross']",Victrex,Business,83.5,2023Q4,3.0,15.0,,
7015.0,2521039245796570.0,70.0,60.0,130.0,Temporary,2022-03-03,UX/UI Designer,Interaction Designers specialize in designing user interactions within digital interfaces. They create meaningful and engaging user experiences by considering user behaviors and system responses.,"['Interaction design principles', 'User behavior and psychology', 'Wireframing and prototyping tools', 'Animation and micro', 'Collaborative design processes']",Power Grid Corporation of India,Information Technology,95.0,2022Q1,4.0,13.0,,
7518.0,2711497750690101.0,27.0,59.0,86.0,Intern,2023-06-07,Landscape Architect,Create aesthetically pleasing and functional landscape designs for residential properties.,"['Landscape design', 'Plant selection and care', 'Hardscape design']",Agricultural Bank of China,Engineering,72.5,2023Q2,0.0,12.0,,
7748.0,423734000000000.0,54.0,65.0,119.0,Part-Time,2023-09-02,Marketing Analyst,"Analyze digital marketing campaigns, track performance metrics, and optimize online marketing strategies.","['Digital marketing strategies', 'Analytics and reporting', 'O and', 'Social media marketing', 'Email marketing', 'Data interpretation', 'Marketing automation tools', 'B testing', 'Communication skills', 'Problem', 'Attention to detail', 'Marketing knowledge']",McKesson,Business,92.0,2023Q3,2.0,11.0,,
7801.0,1161474752275611.0,41.0,65.0,106.0,Full-Time,2022-01-07,Finance Manager,"Accounting Managers supervise accounting teams. They ensure accurate financial reporting, manage budgets, and oversee financial transactions and compliance with accounting standards.","['Accounting principles', 'Financial reporting', 'Team management', 'Budgeting', 'Financial analysis']",Raymond James Financial,Business,85.5,2022Q1,5.0,8.0,,
8185.0,549047000000000.0,26.0,59.0,85.0,Part-Time,2022-11-02,HR Coordinator,"Benefits Coordinators administer employee benefit programs, including health insurance, retirement plans, and other perks. They assist employees with benefit inquiries and ensure compliance with benefit policies.","['Employee benefits administration', 'Benefits compliance', 'Benefits communication']",Yum China Holdings,Business,72.0,2022Q4,4.0,9.0,,
8228.0,3028214021594628.0,49.0,57.0,106.0,Contract,2022-12-29,Systems Administrator,"Database Administrators manage databases, ensuring data integrity, security, and efficient performance. They design, implement, and maintain databases while troubleshooting issues.","['Database management systems', 'My', 'Oracle', 'Server', 'Data security', 'Database tuning and optimization', 'Backup and recovery']",DISH Network,Information Technology,81.5,2022Q4,1.0,10.0,,
8510.0,2966711723355218.0,55.0,57.0,112.0,Part-Time,2022-04-15,Software Engineer,"A Frontend Developer is responsible for designing and implementing user interfaces for web applications. They collaborate with designers to create visually appealing and responsive web pages, ensuring a seamless user experience across different devices and browsers.","['Proficiency in', 'CSS', 'Java', 'Script', 'Experience with frontend frameworks like', 'React', 'Angular', 'Vue', 'Responsive web design', 'Cross', 'Version control', 'Git', 'Frontend performance optimization']",BorgWarner,Information Technology,84.5,2022Q2,5.0,14.0,,
8628.0,3030625625294721.0,73.0,55.0,128.0,Intern,2022-04-20,Sales Manager,"Oversee sales operations within a specific region, develop sales plans, and manage regional sales teams.","['Sales strategy development', 'Territory management', 'Sales team leadership']",Jones Lang LaSalle,Business,91.5,2022Q2,0.0,11.0,,
8794.0,3083908037248268.0,67.0,55.0,122.0,Contract,2022-04-08,Software Engineer,"DevOps Engineers focus on automating and streamlining the development and deployment processes. They work to improve collaboration between development and IT operations, implementing tools and practices for continuous integration and continuous delivery (CI/CD).","['Automation and scripting', 'Python', 'Bash', 'Continuous', 'Integration', 'Continuous', 'Deployment', 'CI', 'CD', 'Containerization', 'Docker', 'Kubernetes', 'Infrastructure as', 'Code', 'Terraform', 'Ansible', 'Cloud platforms', 'AWS', 'Azure', 'GCP', 'Monitoring and troubleshooting skills']","Dunkin'Brands Group, Inc.",Information Technology,88.5,2022Q2,1.0,15.0,,
8820.0,1735951039749399.0,17.0,64.0,81.0,Temporary,2023-02-19,Structural Engineer,"A Bridge Engineer specializes in designing and maintaining bridges, ensuring their structural integrity, safety, and compliance with engineering standards and regulations.","['Bridge design', 'Civil engineering', 'Structural analysis', 'Auto', 'D proficiency', 'Project management']",Pfizer,Engineering,72.5,2023Q1,2.0,14.0,,
8902.0,2485947538567954.0,31.0,63.0,94.0,Full-Time,2023-05-06,Environmental Consultant,"Environmental Impact Analysts assess the environmental consequences of projects or activities. They conduct studies, analyze data, and provide recommendations to minimize adverse environmental effects and promote sustainable practices.","['Environmental impact analysis', 'Data collection and analysis', 'Environmental regulations', 'Reporting', 'Geographic', 'Information', 'Systems', 'Technical writing']",Netflix,Engineering,78.5,2023Q2,5.0,10.0,,
9009.0,2473826655074919.0,63.0,58.0,121.0,Part-Time,2022-03-29,Web Designer,"E-commerce Web Designers specialize in designing and optimizing online stores and shopping websites. They focus on user experience, product presentation, and conversion rate optimization to drive online sales and customer engagement.","['I design', 'Shopping cart integration', 'Payment gateway integration', 'Mobile responsiveness', 'Shopify']",Crown Holdings,Information Technology,89.5,2022Q1,4.0,9.0,,
9097.0,2960544310508899.0,59.0,61.0,120.0,Intern,2022-05-19,Customer Support Specialist,"Customer Success Managers focus on ensuring customer satisfaction and retention. They build relationships with clients, understand their needs, and work to maximize the value customers receive from products or services, ultimately driving customer success and loyalty.","['Customer relationship management', 'Onboarding and training', 'Customer feedback analysis', 'Retention strategies', 'Cross', 'Strong communication and empathy', 'Customer advocacy']",China Unicom,Business,90.5,2022Q2,0.0,12.0,,
9419.0,961204000000000.0,38.0,62.0,100.0,Part-Time,2022-11-05,Project Coordinator,"Administrative Coordinators support administrative tasks, including data entry, scheduling, and document management, to enhance organizational efficiency.","['Office administration', 'Communication skills', 'Organizational skills', 'Time management', 'Microsoft', 'Office proficiency']",Aditya Birla Capital,Business,81.0,2022Q4,0.0,13.0,,
9492.0,2336917489314203.0,53.0,56.0,109.0,Intern,2022-01-18,Project Coordinator,"Construction Project Coordinators assist in managing construction projects, handling documentation, budget tracking, and coordinating subcontractors.","['Construction project management', 'Building codes and regulations knowledge', 'Budgeting and cost control', 'Construction scheduling', 'Contractor and subcontractor coordination']",State Street,Business,82.5,2022Q1,2.0,15.0,,
9635.0,535852000000000.0,33.0,56.0,89.0,Part-Time,2023-08-08,Network Security Specialist,"A Security Consultant is responsible for assessing an organizations security infrastructure, identifying vulnerabilities, and recommending solutions to enhance security. They conduct risk assessments, implement security measures, and provide guidance on security policies and procedures.","['Security consulting', 'Risk assessment', 'Security audits', 'Security policy development', 'Penetration testing', 'Client communication']",Drax Group,Information Technology,72.5,2023Q3,0.0,10.0,,
9763.0,1514622608720137.0,49.0,64.0,113.0,Temporary,2022-04-26,Legal Advisor,"In the role of In-House Counsel, you will provide legal support to the organization across various areas, including contracts, employment law, and regulatory compliance. You will draft legal documents, handle litigation matters, and advise on legal risks affecting day-to-day operations. Your role is crucial in ensuring the company operates within the bounds of the law.","['In', 'Legal advisory', 'Employment law', 'Intellectual property', 'Regulatory compliance', 'Dispute resolution', 'Contract review', 'Client counseling']",Entergy,Legal Services,88.5,2022Q2,0.0,13.0,,
9781.0,3085080840804681.0,69.0,61.0,130.0,Temporary,2022-12-29,Technical Writer,Instructional Designers develop educational materials and curricula. They design engaging and effective learning experiences for students or employees.,"['Instructional design e', 'Learning tools', 'Curriculum development', 'Multimedia design', 'Learning theory knowledge']",C.H. Robinson Worldwide,Engineering,95.5,2022Q4,4.0,14.0,,
10044.0,42138500000000.0,20.0,62.0,82.0,Temporary,2022-01-24,Software Tester,"A Quality Assurance Analyst tests software and products to ensure they meet quality standards. They identify defects, report issues, and work with development teams to resolve problems.","['Quality assurance processes', 'Testing methodologies', 'Bug tracking and reporting', 'Test case development', 'Regression testing']",Volkswagen Group,Information Technology,72.0,2022Q1,5.0,8.0,,
10258.0,2956723433230314.0,64.0,55.0,119.0,Contract,2023-04-08,Database Developer,"NoSQL Database Engineers work with non-relational databases to store and manage large volumes of unstructured or semi-structured data. They design data models, optimize database performance, and ensure scalability and data consistency.","['No', 'L databases', 'Mongo', 'Cassandra', 'Data modeling', 'Data migration', 'Performance tuning', 'Scalability', 'Distributed systems']",NCR,Information Technology,87.0,2023Q2,0.0,8.0,,
10291.0,1053672603193765.0,61.0,58.0,119.0,Part-Time,2022-12-06,Event Manager,"A Conference Manager coordinates and manages conferences, meetings, and events. They plan logistics, handle budgeting, liaise with vendors, and ensure the smooth execution of events, catering to the needs and expectations of attendees.","['Event planning', 'Conference logistics', 'Budget management', 'Vendor coordination', 'Marketing and promotion', 'Client relations']",MTU Aero Engines AG,Business,88.5,2022Q4,0.0,15.0,,
10396.0,1027487888690768.0,50.0,62.0,112.0,Intern,2022-01-14,Social Media Manager,"Social Media Analysts analyze social media data and metrics to provide insights and recommendations for improving social media strategies. They track performance, identify trends, and support data-driven decision-making.","['Social media analytics tools', 'Google', 'Analytics', 'Facebook', 'Insights', 'Data analysis and reporting', 'Social media', 'I measurement', 'Competitive analysis', 'Trend identification']",Regeneron Pharmaceuticals,Business,87.0,2022Q1,2.0,10.0,,
10937.0,1803734010485216.8,63.0,58.0,121.0,Part-Time,2022-10-31,Procurement Manager,"Analyze procurement data, identify cost-saving opportunities, and support the procurement process.","['Procurement processes', 'Vendor assessment', 'Contract negotiation', 'Purchase order management', 'Spend analysis', 'Market research', 'Supplier relationship management', 'Data analysis', 'Problem', 'Attention to detail', 'Communication skills', 'Financial acumen']",Group 1 Automotive,Business,89.5,2022Q4,2.0,10.0,,
11269.0,2697102871604998.0,15.0,65.0,80.0,Contract,2023-06-24,Purchasing Agent,"A Supply Chain Coordinator manages supply chain operations, coordinates logistics, and ensures the seamless flow of goods and materials throughout the supply chain network.","['Supply chain logistics', 'Inventory management', 'Communication skills', 'Problem', 'Vendor coordination']",Glencore,Business,72.5,2023Q2,0.0,11.0,,
11529.0,252802000000000.0,23.0,61.0,84.0,Temporary,2022-03-15,Finance Manager,"Financial Planning Managers oversee financial planning services. They lead a team of financial planners, develop financial strategies, and ensure clients financial goals are met.","['Financial planning', 'Investment strategies', 'Team leadership', 'Wealth management', 'Client advisory skills']",Keurig Dr Pepper Inc.,Business,72.5,2022Q1,2.0,11.0,,
11672.0,430934000000000.0,69.0,59.0,128.0,Contract,2023-08-29,Sales Consultant,"B2B Sales Consultants specialize in business-to-business sales. They identify and target potential corporate clients, negotiate contracts, and build long-term relationships to drive sales growth in the B2B market.","['B2', 'B sales', 'Business', 'Lead generation', 'Sales negotiations', 'Client relationship building', 'Market research']",Alphabet,Business,93.5,2023Q3,1.0,14.0,,
11738.0,2252653956107962.0,55.0,57.0,112.0,Contract,2022-08-28,Marketing Coordinator,"Event Marketing Coordinators focus on marketing events, including trade shows, exhibitions, and product launches, to maximize attendance and engagement.","['Event planning and management', 'Budgeting and financial management', 'Vendor and sponsor relations', 'Promotion and publicity', 'Event logistics and coordination skills']",Hewlett Packard Enterprise,Business,84.5,2022Q3,1.0,12.0,,
12792.0,374179000000000.0,46.0,62.0,108.0,Intern,2023-07-06,UI Developer,A UX/UI Designer focuses on enhancing user experiences by designing intuitive interfaces. They consider user needs and preferences to create visually appealing and functional designs.,"['User experience', 'UX', 'User interface', 'UI', 'Wireframing and prototyping', 'Usability testing', 'Design tools like', 'Sketch or', 'Figma']",Glenmark Pharmaceuticals,Information Technology,85.0,2023Q3,1.0,11.0,,
12862.0,2038300751404695.2,48.0,58.0,106.0,Contract,2022-05-06,Procurement Manager,"Develop and execute sourcing strategies to procure goods and services, negotiate contracts, and manage supplier relationships.","['Strategic sourcing strategies', 'Supplier evaluation and selection', 'Negotiation skills', 'Vendor management', 'Cost analysis', 'Supply chain management', 'Contract management', 'Problem', 'Attention to detail', 'Communication skills', 'Strategic thinking']",AbbVie,Business,82.0,2022Q2,5.0,15.0,,
13122.0,832545000000000.0,40.0,65.0,105.0,Contract,2022-04-04,Finance Manager,"Accounting Managers supervise accounting teams. They ensure accurate financial reporting, manage budgets, and oversee financial transactions and compliance with accounting standards.","['Accounting principles', 'Financial reporting', 'Team management', 'Budgeting', 'Financial analysis']",Glenmark Pharmaceuticals,Business,85.0,2022Q2,0.0,12.0,,
13192.0,1241067566413571.0,24.0,56.0,80.0,Part-Time,2022-12-18,Pediatrician,"General Pediatricians provide medical care to infants, children, and adolescents. They diagnose and treat various pediatric conditions, offer preventive care, and educate patients and parents on child health and well-being.","['Pediatrics', 'Pediatric care', 'Diagnosis and treatment', 'Pediatric medical procedures', 'Patient care', 'Communication skills']",Kroger,Healthcare,68.0,2022Q4,5.0,10.0,,
13246.0,205204000000000.0,27.0,57.0,84.0,Part-Time,2022-07-20,UX/UI Designer,"User Experience Designers create intuitive and user-friendly digital interfaces. They conduct user research, design prototypes, and work to enhance the overall user experience of websites and applications.","['User', 'I design tools', 'Sketch', 'Adobe', 'Wireframing and prototyping', 'Usability testing and user research', 'Information architecture and user flows']",News Corp.,Information Technology,70.5,2022Q3,2.0,9.0,,
13441.0,277422000000000.0,41.0,58.0,99.0,Part-Time,2021-08-10,Market Research Analyst,"A Market Researcher gathers and analyzes market data to provide insights on consumer behavior, market trends, and competitor activities, aiding in informed business decisions.","['Market research methodologies', 'Data collection and analysis', 'Industry knowledge']","Workday, Inc.",Business,78.5,2021Q3,3.0,10.0,,
