Unnamed: 0,Job Id,Salary Range (K),Min Salary (K),Max Salary (K),Work Type,Job Posting Date,Predicted Industry,Job Title,Job Description,skills,Company,Broader Category,Average Salary (K),Year-Quarter,Job Minimum Experience,Job Maximum Experience,Job URL
28315.0,1499496404506751.0,58.0,55.0,113.0,Part-Time,2022-03-16,4.0,Environmental Consultant,"Environmental Compliance Officers ensure that organizations adhere to environmental regulations and standards. They conduct audits, develop compliance programs, and oversee efforts to minimize environmental impact and maintain regulatory compliance.","['Environmental compliance', 'Regulatory requirements', 'Environmental impact assessments', 'Reporting', 'Environmental regulations', 'Auditing']",International Paper,Engineering,84.0,2022Q1,2.0,8.0,
28374.0,2338885847381322.0,60.0,57.0,117.0,Full-Time,2023-02-13,4.0,Environmental Engineer,"A Sustainability Specialist promotes sustainability initiatives within organizations, develops sustainability programs, and helps reduce environmental impacts while increasing efficiency.","['Sustainability practices', 'Environmental management systems', 'Green certifications']",Wipro Limited,Engineering,87.0,2023Q1,1.0,8.0,
30052.0,2177811962977424.8,52.0,57.0,109.0,Part-Time,2021-11-22,4.0,Landscape Architect,"Design outdoor spaces, parks, and landscapes with an emphasis on environmental sustainability.","['Environmental design principles', 'Sustainability concepts', 'D and design software']",Robert Half International,Engineering,83.0,2021Q4,1.0,15.0,
34342.0,784433000000000.0,57.0,56.0,113.0,Intern,2023-07-08,4.0,Architect,"Sustainable Design Specialists incorporate eco-friendly practices into architectural designs, promoting energy efficiency and environmental sustainability.","['Sustainable design principles', 'Energy efficiency', 'D certification', 'Green building materials', 'Environmental impact assessment']",EnLink Midstream,Engineering,84.5,2023Q3,2.0,12.0,
36587.0,430517000000000.0,23.0,65.0,88.0,Intern,2022-08-04,4.0,Urban Planner,"Transportation Planners design and manage transportation systems. They optimize traffic flow, plan public transit routes, and enhance overall transportation efficiency.","['Transportation planning', 'Traffic engineering', 'S proficiency', 'Public transportation', 'Project management']",China COSCO Shipping Corporation,Engineering,76.5,2022Q3,4.0,14.0,
36768.0,1124176964888549.0,18.0,62.0,80.0,Part-Time,2021-01-12,4.0,Aerospace Engineer,Systems Engineers design and manage complex systems and infrastructure. They integrate various components and technologies to ensure optimal system performance and reliability.,"['Systems engineering', 'System architecture', 'Integration testing', 'Troubleshooting', 'Technical documentation', 'Configuration management']",3M,Engineering,71.0,2021Q1,1.0,15.0,
38106.0,125245000000000.0,70.0,60.0,130.0,Intern,2023-10-07,4.0,Civil Engineer,"A Structural Engineer designs and analyzes the structural integrity of buildings, bridges, and other structures. They ensure safety and compliance with engineering standards.","['Structural engineering principles', 'Structural analysis and design software', 'Auto', 'SAP2000', 'Building codes and standards', 'Project management', 'Structural integrity assessment']",Kainos Group,Engineering,95.0,2023Q4,2.0,9.0,
38763.0,1128301538386683.0,42.0,62.0,104.0,Intern,2022-01-27,4.0,Mechanical Engineer,"Manufacturing Engineers optimize manufacturing processes, improve production efficiency, and ensure product quality in manufacturing environments.","['Manufacturing processes knowledge', 'M software proficiency', 'Lean manufacturing principles', 'Quality control and assurance', 'Six', 'Sigma certification']",Discover Financial Services,Engineering,83.0,2022Q1,4.0,9.0,
41616.0,829421000000000.0,60.0,56.0,116.0,Contract,2022-11-01,4.0,Mechanical Designer,Create and modify technical drawings using computer-aided design (CAD) software for various engineering projects.,"['Computer', 'CAD', 'Technical drawing', 'Blueprint interpretation', 'Drafting standards', 'Engineering principles', 'Collaboration with engineers', 'Problem', 'Attention to detail', 'Communication skills 3', 'D modeling']",Prudential Financial,Engineering,86.0,2022Q4,1.0,15.0,
42031.0,3026781095894701.0,59.0,63.0,122.0,Intern,2023-10-03,4.0,Architect,"Sustainable Design Specialists incorporate eco-friendly practices into architectural designs, promoting energy efficiency and environmental sustainability.","['Sustainable design principles', 'Energy efficiency', 'D certification', 'Green building materials', 'Environmental impact assessment']",Metro AG,Engineering,92.5,2023Q4,1.0,12.0,
42849.0,2286404024175128.0,41.0,59.0,100.0,Part-Time,2023-08-04,4.0,Landscape Architect,"Develop and implement urban planning strategies, manage land use, and ensure sustainable city development.","['Urban design and planning', 'Zoning regulations', 'S and mapping tools']",Kraft Heinz,Engineering,79.5,2023Q3,4.0,8.0,
42905.0,1369785784558092.0,51.0,60.0,111.0,Full-Time,2022-07-02,4.0,Aerospace Engineer,"Avionics Engineers focus on aircraft electronic systems. They design and maintain avionics systems such as communication, navigation, and instrumentation for safe flight operations.","['Avionics systems', 'Electronic warfare systems', 'Radar systems', 'Aircraft communication systems', 'System integration', 'Testing and validation']",LPL Financial Holdings,Engineering,85.5,2022Q3,4.0,12.0,
44462.0,1043712779257321.0,54.0,65.0,119.0,Intern,2022-02-25,4.0,Chemical Engineer,"Optimize manufacturing processes, improve efficiency, and ensure product quality in industrial settings.","['Process optimization', 'Manufacturing processes', 'Lean', 'Six', 'Sigma methodologies', 'Data analysis', 'Statistical process control', 'Quality management', 'Root cause analysis', 'Collaboration', 'Problem', 'Attention to detail', 'Technical knowledge']",Voltas Limited,Engineering,92.0,2022Q1,1.0,9.0,
44594.0,465914000000000.0,46.0,64.0,110.0,Temporary,2022-11-13,4.0,Landscape Architect,"Design outdoor spaces, parks, and landscapes with an emphasis on environmental sustainability.","['Environmental design principles', 'Sustainability concepts', 'D and design software']",Huntsman,Engineering,87.0,2022Q4,2.0,8.0,
44944.0,1564820667112039.0,27.0,59.0,86.0,Temporary,2021-11-14,4.0,Structural Engineer,"A Construction Engineer manages construction projects, oversees project planning, budgets, and construction activities, and ensures projects are completed on time and within budget.","['Construction management', 'Structural design', 'Auto', 'D proficiency', 'Project management', 'Site inspection']",Seek Limited,Engineering,72.5,2021Q4,3.0,15.0,
45583.0,3000379154925790.0,72.0,55.0,127.0,Contract,2022-08-22,4.0,Urban Planner,"Transportation Planners design and manage transportation systems. They optimize traffic flow, plan public transit routes, and enhance overall transportation efficiency.","['Transportation planning', 'Traffic engineering', 'S proficiency', 'Public transportation', 'Project management']",Franklin Resources,Engineering,91.0,2022Q3,4.0,14.0,
45689.0,731616000000000.0,25.0,59.0,84.0,Contract,2021-11-28,4.0,Mechanical Designer,Create and modify technical drawings using computer-aided design (CAD) software for various engineering projects.,"['Computer', 'CAD', 'Technical drawing', 'Blueprint interpretation', 'Drafting standards', 'Engineering principles', 'Collaboration with engineers', 'Problem', 'Attention to detail', 'Communication skills 3', 'D modeling']",Eaton Corporation plc,Engineering,71.5,2021Q4,0.0,12.0,
50152.0,2652502195914099.0,65.0,59.0,124.0,Contract,2021-07-10,29.0,Business Development Manager,"A Market Expansion Manager strategizes and executes plans to expand the companys presence in new markets, identifying growth opportunities and optimizing market penetration.","['Market expansion strategies', 'Market research', 'Sales planning and execution']",Procter & Gamble,Engineering,91.5,2021Q3,2.0,15.0,
52018.0,208881000000000.0,28.0,62.0,90.0,Full-Time,2022-03-18,4.0,Mechanical Designer,"Design and develop innovative products, from concept to production, ensuring usability, functionality, and aesthetics.","['Product design principles', 'Prototyping and wireframing', 'User research', 'User testing', 'X design 3', 'D modeling', 'Collaboration', 'Problem', 'Creativity', 'Attention to detail', 'Communication skills', 'Software proficiency', 'Sketch', 'Adobe']",China Construction Bank,Engineering,76.0,2022Q1,4.0,8.0,
52194.0,1270523635708748.0,39.0,56.0,95.0,Temporary,2022-03-01,4.0,Environmental Consultant,"Environmental Compliance Officers ensure that organizations adhere to environmental regulations and standards. They conduct audits, develop compliance programs, and oversee efforts to minimize environmental impact and maintain regulatory compliance.","['Environmental compliance', 'Regulatory requirements', 'Environmental impact assessments', 'Reporting', 'Environmental regulations', 'Auditing']",Berkshire Hathaway,Engineering,75.5,2022Q1,2.0,13.0,
52699.0,383073000000000.0,38.0,63.0,101.0,Intern,2021-09-19,4.0,Architect,"Sustainable Design Specialists incorporate eco-friendly practices into architectural designs, promoting energy efficiency and environmental sustainability.","['Sustainable design principles', 'Energy efficiency', 'D certification', 'Green building materials', 'Environmental impact assessment']",SAP SE,Engineering,82.0,2021Q3,0.0,8.0,
54421.0,1635538684974311.0,43.0,64.0,107.0,Full-Time,2022-03-06,29.0,Chemical Engineer,"Conduct research, design experiments, and develop innovative products or technologies in various industries.","['Research and development processes', 'Product innovation', 'Prototype development', 'Testing and experimentation', 'Data analysis', 'Collaboration with cross', 'Problem', 'Attention to detail', 'Technical expertise', 'Project management skills']",Commonwealth Bank of Australia,Engineering,85.5,2022Q1,5.0,10.0,
54437.0,1974245854822626.0,30.0,61.0,91.0,Part-Time,2023-07-30,4.0,Structural Engineer,"A Bridge Engineer specializes in designing and maintaining bridges, ensuring their structural integrity, safety, and compliance with engineering standards and regulations.","['Bridge design', 'Civil engineering', 'Structural analysis', 'Auto', 'D proficiency', 'Project management']",Marriott International,Engineering,76.0,2023Q3,4.0,12.0,
54859.0,1863149213842524.0,31.0,55.0,86.0,Intern,2022-01-22,4.0,Aerospace Engineer,"Avionics Engineers focus on aircraft electronic systems. They design and maintain avionics systems such as communication, navigation, and instrumentation for safe flight operations.","['Avionics systems', 'Electronic warfare systems', 'Radar systems', 'Aircraft communication systems', 'System integration', 'Testing and validation']",Volkswagen Group,Engineering,70.5,2022Q1,3.0,8.0,
56226.0,1173713834966989.0,35.0,65.0,100.0,Full-Time,2023-06-08,4.0,Process Engineer,"Chemical Engineers design and oversee processes for the production of chemicals and related products. They conduct experiments, analyze data, and develop processes to optimize production, ensure safety, and minimize environmental impact.","['Chemical engineering', 'Process design', 'Chemical reactions', 'Safety protocols', 'Laboratory techniques', 'Problem']",Exxon Mobil,Engineering,82.5,2023Q2,2.0,15.0,
60433.0,1850667592563306.0,56.0,60.0,116.0,Contract,2023-07-22,4.0,Civil Engineer,"A Water Resources Engineer manages and develops water-related projects, such as dams, irrigation systems, and flood control measures, to ensure water resource sustainability.","['Water resources engineering', 'Hydrology and hydraulics', 'Environmental impact assessment', 'Water resource modeling software', 'Watershed management']",Land O'Lakes,Engineering,88.0,2023Q3,5.0,10.0,
64413.0,2613664951311492.0,30.0,55.0,85.0,Temporary,2022-09-14,4.0,Structural Engineer,"A Construction Engineer manages construction projects, oversees project planning, budgets, and construction activities, and ensures projects are completed on time and within budget.","['Construction management', 'Structural design', 'Auto', 'D proficiency', 'Project management', 'Site inspection']",L3Harris Technologies,Engineering,70.0,2022Q3,1.0,9.0,
66002.0,1074490083183521.0,64.0,63.0,127.0,Intern,2023-07-24,4.0,Electrical Engineer,"Power Systems Engineers design and maintain electrical power systems. They work on generation, transmission, and distribution of electrical power, focusing on safety and efficiency.","['Electrical engineering', 'Power system analysis', 'Renewable energy systems', 'Control systems', 'Safety regulations']",Ameriprise Financial,Engineering,95.0,2023Q3,0.0,9.0,
66035.0,2307172387602372.0,59.0,61.0,120.0,Temporary,2022-11-18,4.0,QA Engineer,"A QA Manager is responsible for leading and managing the quality assurance team. They ensure product quality, develop and implement QA processes, and maintain quality standards.","['Quality assurance', 'Process improvement', 'Team leadership', 'Problem', 'Quality control']",Associated British Foods,Engineering,90.5,2022Q4,2.0,8.0,
66071.0,853967000000000.0,66.0,58.0,124.0,Part-Time,2021-05-11,4.0,Architect,"Project Architects lead architectural projects, from concept to completion, coordinating design teams, managing budgets, and ensuring compliance with regulations.","['Architectural project management', 'Construction documents', 'Building systems', 'Design coordination', 'Client communication']","T-Mobile US, Inc.",Engineering,91.0,2021Q2,1.0,15.0,
69311.0,3052466208074204.0,43.0,59.0,102.0,Contract,2021-10-19,4.0,Aerospace Engineer,"Avionics Engineers focus on aircraft electronic systems. They design and maintain avionics systems such as communication, navigation, and instrumentation for safe flight operations.","['Avionics systems', 'Electronic warfare systems', 'Radar systems', 'Aircraft communication systems', 'System integration', 'Testing and validation']",Tencent Holdings,Engineering,80.5,2021Q4,3.0,11.0,
69492.0,585734000000000.0,56.0,58.0,114.0,Full-Time,2022-07-07,4.0,Urban Planner,Environmental Planners assess and mitigate the impact of projects on the environment. They ensure compliance with environmental regulations and promote sustainable practices.,"['Environmental regulations', 'Ecosystem analysis', 'Environmental impact assessments', 'Sustainability planning', 'Project management']",Chevron,Engineering,86.0,2022Q3,3.0,8.0,
69553.0,644268000000000.0,74.0,55.0,129.0,Part-Time,2023-03-24,4.0,Architectural Designer,"Interior Designers plan and design interior spaces to meet the functional and aesthetic needs of clients. They select furniture, colors, materials, and layouts to create visually appealing and functional interiors for homes and businesses.","['Interior design', 'Space planning', 'Color theory', 'Material selection', 'D software', 'Sketch', 'Up', 'Client collaboration', 'Budget management']",Axis Bank,Engineering,92.0,2023Q1,3.0,8.0,
71050.0,2596457928565847.0,67.0,63.0,130.0,Contract,2023-08-25,4.0,Technical Writer,Instructional Designers develop educational materials and curricula. They design engaging and effective learning experiences for students or employees.,"['Instructional design e', 'Learning tools', 'Curriculum development', 'Multimedia design', 'Learning theory knowledge']",Vonovia SE,Engineering,96.5,2023Q3,1.0,9.0,
71479.0,55061500000000.0,57.0,60.0,117.0,Part-Time,2022-12-06,4.0,Environmental Consultant,"Environmental Impact Analysts assess the environmental consequences of projects or activities. They conduct studies, analyze data, and provide recommendations to minimize adverse environmental effects and promote sustainable practices.","['Environmental impact analysis', 'Data collection and analysis', 'Environmental regulations', 'Reporting', 'Geographic', 'Information', 'Systems', 'Technical writing']",Deutsche Wohnen SE,Engineering,88.5,2022Q4,4.0,8.0,
72312.0,73914100000000.0,46.0,64.0,110.0,Contract,2022-05-31,4.0,Architect,"Architectural Designers create architectural plans and designs for buildings and structures, considering aesthetics, functionality, and safety standards.","['Architectural design software', 'Auto', 'Revit', 'Building codes and regulations 3', 'D modeling', 'Visualization', 'Sustainable design']",Altice USA,Engineering,87.0,2022Q2,5.0,8.0,
72815.0,2654612238561379.0,33.0,61.0,94.0,Contract,2023-06-04,4.0,Chemical Engineer,"Monitor and maintain product quality standards, perform inspections, and implement quality control procedures.","['Quality control processes', 'Quality assurance standards', 'ISO', 'Statistical analysis', 'Inspection techniques', 'Documenting quality issues', 'Root cause analysis', 'Communication with production teams', 'Problem', 'Attention to detail', 'Technical knowledge']",The Kraft Heinz Company,Engineering,77.5,2023Q2,5.0,14.0,
73785.0,1083555567885112.0,33.0,63.0,96.0,Part-Time,2023-05-19,4.0,Process Engineer,"Industrial Engineers focus on improving efficiency and productivity in various industries. They analyze processes, design systems, and implement solutions to streamline operations, reduce costs, and enhance quality.","['Industrial engineering', 'Process optimization', 'Lean manufacturing', 'Quality control', 'Data analysis', 'Workflow design']",Campbell Soup,Engineering,79.5,2023Q2,2.0,8.0,
74777.0,1642412817457077.0,75.0,55.0,130.0,Part-Time,2022-12-06,4.0,Electrical Engineer,"Power Systems Engineers design and maintain electrical power systems. They work on generation, transmission, and distribution of electrical power, focusing on safety and efficiency.","['Electrical engineering', 'Power system analysis', 'Renewable energy systems', 'Control systems', 'Safety regulations']",PulteGroup,Engineering,92.5,2022Q4,4.0,11.0,
76697.0,1599915888619825.0,45.0,59.0,104.0,Part-Time,2022-10-12,4.0,Landscape Architect,Create aesthetically pleasing and functional landscape designs for residential properties.,"['Landscape design', 'Plant selection and care', 'Hardscape design']","Wyndham Hotels & Resorts, Inc.",Engineering,81.5,2022Q4,2.0,11.0,
77137.0,2054212754523227.2,37.0,63.0,100.0,Contract,2023-03-19,4.0,Environmental Consultant,"Environmental Impact Analysts assess the environmental consequences of projects or activities. They conduct studies, analyze data, and provide recommendations to minimize adverse environmental effects and promote sustainable practices.","['Environmental impact analysis', 'Data collection and analysis', 'Environmental regulations', 'Reporting', 'Geographic', 'Information', 'Systems', 'Technical writing']",Avantor,Engineering,81.5,2023Q1,2.0,14.0,
79282.0,118244000000000.0,62.0,55.0,117.0,Intern,2023-10-08,4.0,Aerospace Engineer,"Avionics Engineers focus on aircraft electronic systems. They design and maintain avionics systems such as communication, navigation, and instrumentation for safe flight operations.","['Avionics systems', 'Electronic warfare systems', 'Radar systems', 'Aircraft communication systems', 'System integration', 'Testing and validation']",Taylor Morrison Home,Engineering,86.0,2023Q4,2.0,11.0,
80072.0,1866059342910407.2,45.0,57.0,102.0,Part-Time,2023-04-02,29.0,Product Manager,"Technical Product Managers oversee the development and enhancement of technical products. They define product requirements, prioritize features, collaborate with development teams, and ensure the product aligns with the companys strategic goals and market needs.","['Product management principles', 'Technical background', 'Agile development methodologies', 'Product roadmap planning', 'Market research and analysis', 'Stakeholder communication', 'Problem']",Knight-Swift Transportation Holdings,Engineering,79.5,2023Q2,0.0,11.0,
80552.0,1613534000991646.0,58.0,57.0,115.0,Full-Time,2023-04-26,4.0,Mechanical Designer,"Design and optimize heating, ventilation, and air conditioning (HVAC) systems for buildings, focusing on energy efficiency and comfort.","['C system design', 'Load calculations', 'Energy efficiency', 'Auto', 'D or similar software', 'Mechanical engineering principles', 'Collaboration with architects and engineers', 'Regulatory compliance', 'Problem', 'Attention to detail', 'Communication skills']",The Kraft Heinz Company,Engineering,86.0,2023Q2,0.0,13.0,
87546.0,2489659411093629.0,58.0,65.0,123.0,Contract,2023-08-13,4.0,Environmental Consultant,"Sustainability Consultants advise organizations on sustainable practices and strategies. They assess environmental impact, recommend sustainability initiatives, and assist in the development and implementation of sustainable policies.","['Sustainability consulting', 'Sustainability assessments', 'Sustainable practices', 'Green building standards', 'Environmental policies', 'Client communication']",Seven Group Holdings,Engineering,94.0,2023Q3,1.0,10.0,
91429.0,917775000000000.0,31.0,63.0,94.0,Temporary,2023-06-06,29.0,Business Development Manager,"A Market Expansion Manager strategizes and executes plans to expand the companys presence in new markets, identifying growth opportunities and optimizing market penetration.","['Market expansion strategies', 'Market research', 'Sales planning and execution']",Honeywell International,Engineering,78.5,2023Q2,2.0,13.0,
93642.0,296333000000000.0,27.0,61.0,88.0,Contract,2022-07-30,4.0,Landscape Architect,"Design outdoor spaces, parks, and landscapes with an emphasis on environmental sustainability.","['Environmental design principles', 'Sustainability concepts', 'D and design software']",Merck,Engineering,74.5,2022Q3,1.0,9.0,
93966.0,687254000000000.0,61.0,59.0,120.0,Contract,2022-10-12,4.0,Structural Engineer,"A Construction Engineer manages construction projects, oversees project planning, budgets, and construction activities, and ensures projects are completed on time and within budget.","['Construction management', 'Structural design', 'Auto', 'D proficiency', 'Project management', 'Site inspection']",PepsiCo,Engineering,89.5,2022Q4,1.0,10.0,
94206.0,894525000000000.0,45.0,65.0,110.0,Intern,2022-12-04,4.0,Architectural Designer,Architectural Drafters assist architects and engineers in creating detailed technical drawings and plans for buildings and structures. They use computer-aided design (CAD) software to produce accurate and precise architectural drawings.,"['Architectural drafting', 'Auto', 'D 2', 'D and 3', 'D modeling', 'Blueprint reading', 'Building codes', 'Collaboration with architects', 'Detail']",Hartford Financial Services Group,Engineering,87.5,2022Q4,0.0,10.0,
96496.0,2882947516197214.0,44.0,56.0,100.0,Part-Time,2021-09-25,4.0,Environmental Consultant,"Environmental Compliance Officers ensure that organizations adhere to environmental regulations and standards. They conduct audits, develop compliance programs, and oversee efforts to minimize environmental impact and maintain regulatory compliance.","['Environmental compliance', 'Regulatory requirements', 'Environmental impact assessments', 'Reporting', 'Environmental regulations', 'Auditing']",Cardinal Health,Engineering,78.0,2021Q3,1.0,13.0,
96765.0,2428278764728863.0,35.0,57.0,92.0,Full-Time,2022-11-11,22.0,IT Administrator,"System Administrators manage and maintain computer systems and networks. They handle software installations, security measures, and troubleshooting to ensure system reliability.","['System administration', 'Network administration', 'Troubleshooting', 'Security management', 'Server maintenance', 'Backup and recovery']",American Airlines Group,Engineering,74.5,2022Q4,3.0,8.0,
99937.0,349106000000000.0,50.0,59.0,109.0,Contract,2021-06-11,4.0,Structural Engineer,"A Construction Engineer manages construction projects, oversees project planning, budgets, and construction activities, and ensures projects are completed on time and within budget.","['Construction management', 'Structural design', 'Auto', 'D proficiency', 'Project management', 'Site inspection']",Marriott International,Engineering,84.0,2021Q2,4.0,8.0,
100682.0,2403133162192288.0,36.0,64.0,100.0,Part-Time,2021-12-15,29.0,Product Manager,"Agile Product Owners work closely with development teams in Agile environments. They define and prioritize product backlog items, communicate the product vision, and ensure that the product increments delivered align with customer needs and project objectives.","['Agile product development', 'Scrum or', 'Kanban frameworks', 'Backlog management', 'User story writing', 'Prioritization techniques', 'Collaboration with development teams', 'Product vision and strategy']",Blackstone,Engineering,82.0,2021Q4,5.0,8.0,
100903.0,2409867074655725.0,54.0,58.0,112.0,Part-Time,2023-05-13,4.0,Chemical Engineer,"Optimize manufacturing processes, improve efficiency, and ensure product quality in industrial settings.","['Process optimization', 'Manufacturing processes', 'Lean', 'Six', 'Sigma methodologies', 'Data analysis', 'Statistical process control', 'Quality management', 'Root cause analysis', 'Collaboration', 'Problem', 'Attention to detail', 'Technical knowledge']",BT Group,Engineering,85.0,2023Q2,2.0,14.0,
107248.0,1499301584714239.0,39.0,61.0,100.0,Part-Time,2022-06-18,4.0,Architect,"Sustainable Design Specialists incorporate eco-friendly practices into architectural designs, promoting energy efficiency and environmental sustainability.","['Sustainable design principles', 'Energy efficiency', 'D certification', 'Green building materials', 'Environmental impact assessment']",C.H. Robinson Worldwide,Engineering,80.5,2022Q2,0.0,13.0,
108363.0,2067515623472150.0,26.0,63.0,89.0,Temporary,2022-11-26,4.0,Landscape Architect,"Design outdoor spaces, parks, and landscapes with an emphasis on environmental sustainability.","['Environmental design principles', 'Sustainability concepts', 'D and design software']",Yum China Holdings,Engineering,76.0,2022Q4,0.0,8.0,
115057.0,944153000000000.0,67.0,62.0,129.0,Contract,2022-01-09,4.0,Environmental Engineer,"A Sustainability Specialist promotes sustainability initiatives within organizations, develops sustainability programs, and helps reduce environmental impacts while increasing efficiency.","['Sustainability practices', 'Environmental management systems', 'Green certifications']",Royal Caribbean Group,Engineering,95.5,2022Q1,4.0,13.0,
121994.0,262214000000000.0,45.0,57.0,102.0,Full-Time,2022-08-17,4.0,Environmental Consultant,"Environmental Compliance Officers ensure that organizations adhere to environmental regulations and standards. They conduct audits, develop compliance programs, and oversee efforts to minimize environmental impact and maintain regulatory compliance.","['Environmental compliance', 'Regulatory requirements', 'Environmental impact assessments', 'Reporting', 'Environmental regulations', 'Auditing']",Honeywell International,Engineering,79.5,2022Q3,0.0,9.0,
122208.0,2609213530575881.0,59.0,56.0,115.0,Full-Time,2022-05-15,4.0,Architectural Designer,"Interior Designers plan and design interior spaces to meet the functional and aesthetic needs of clients. They select furniture, colors, materials, and layouts to create visually appealing and functional interiors for homes and businesses.","['Interior design', 'Space planning', 'Color theory', 'Material selection', 'D software', 'Sketch', 'Up', 'Client collaboration', 'Budget management']",Elevance Health,Engineering,85.5,2022Q2,0.0,8.0,
