Unnamed: 0,Job Id,Experience,Qualifications,Salary Range (K),Min Salary (K),Max Salary (K),Country,Work Type,Company Size,Job Posting Date,Predicted Industry,Job Title,Role,Job Portal,Job Description,Benefits,skills,Responsibilities,Company,Company Profile,Text,Cluster Name,Broader Category,Average Salary (K),Year-Quarter
41125,348348000000000.0,0 to 13 Years,BA,37,55,92,Singapore,Full-Time,93548,2022-05-16,9,Social Worker,Child Welfare Worker,Idealist,"Work with at-risk children and families, assess needs, provide support, and ensure child safety and well-being.","Transportation Benefits, Professional Development, Bonuses and Incentive Programs, Profit-Sharing, Employee Discounts","['Child welfare policies and regulations""', 'Child protective services""', 'Child development""', 'Crisis intervention""', 'Case management""', 'Cultural competence""', 'Interviewing and assessment skills""', 'Court procedures""', 'Documentation""', 'Empathy""', 'Communication skills]""]]]]]']",Provide support and counseling to children and families in need. Assess child safety and risk factors. Develop and implement care plans and interventions.,Lumen Technologies,"{""Sector"":""Telecommunications"",""Industry"":""Telecommunications"",""City"":""Monroe"",""State"":""Louisiana"",""Zip"":""71203"",""Website"":""www.lumen.com"",""Ticker"":""LUMN"",""CEO"":""Kathleen E. Johnson""}",Social Worker Provide support and counseling to children and families in need. Assess child safety and risk factors. Develop and implement care plans and interventions. Child welfare policies and regulations Child protective services Child development Crisis intervention Case management Cultural competence Interviewing and assessment skills Court procedures Documentation Empathy Communication skills,Legal & Social Services,Legal Services,73.5,2022Q2
44033,2134947581699500.8,5 to 15 Years,BBA,43,60,103,Singapore,Part-Time,69584,2022-01-12,9,Litigation Attorney,Corporate Litigator,Snagajob,"Corporate Litigators specialize in corporate law. They handle legal matters related to businesses, such as mergers, acquisitions, contracts, and disputes, to protect corporate interests.","Legal Assistance, Bonuses and Incentive Programs, Wellness Programs, Employee Discounts, Retirement Plans","['Corporate law""', 'Commercial litigation""', 'Dispute resolution""', 'Contract law""', 'Legal strategy""', 'Negotiation]""]]]]]']","Focus on corporate legal matters, including contracts, disputes, and compliance. Provide legal counsel to businesses and organizations. Handle litigation involving corporate interests.",Meta Platforms,"{""Sector"":""Technology"",""Industry"":""Internet Services and Retailing"",""City"":""Menlo Park"",""State"":""California"",""Zip"":""94025"",""Website"":""www.fb.com"",""Ticker"":""META"",""CEO"":""Mark Zuckerberg""}","Litigation Attorney Focus on corporate legal matters, including contracts, disputes, and compliance. Provide legal counsel to businesses and organizations. Handle litigation involving corporate interests. Corporate law Commercial litigation Dispute resolution Contract law Legal strategy Negotiation",Legal & Social Services,Legal Services,81.5,2022Q1
48032,680655000000000.0,5 to 9 Years,B.Com,68,62,130,Singapore,Part-Time,120172,2021-11-17,9,Litigation Attorney,Family Law Attorney,Monster,"Family Law Attorneys deal with legal matters related to family relationships. They handle cases like divorce, child custody, adoption, and domestic disputes to provide legal guidance.","Flexible Spending Accounts (FSAs), Relocation Assistance, Legal Assistance, Employee Recognition Programs, Financial Counseling","['Family law""', 'Divorce proceedings""', 'Child custody""', 'Mediation""', 'Legal counseling""', 'Court representation]""]]]]]']","Specialize in family law matters, such as divorce, child custody, and adoption. Advocate for clients in family court proceedings. Offer legal advice and mediation services.",Shree Cement,"{""Sector"":""Cement & Aggregates"",""Industry"":""Cement and Building Materials"",""City"":""Kolkata"",""State"":""West Bengal"",""Zip"":""700016"",""Website"":""https://www.shreecement.com/"",""Ticker"":""SHREECEM"",""CEO"":""Hari Mohan Bangur""}","Litigation Attorney Specialize in family law matters, such as divorce, child custody, and adoption. Advocate for clients in family court proceedings. Offer legal advice and mediation services. Family law Divorce proceedings Child custody Mediation Legal counseling Court representation",Legal & Social Services,Legal Services,96.0,2021Q4
54208,864669000000000.0,4 to 15 Years,M.Tech,54,57,111,Singapore,Intern,33251,2023-12-04,9,Legal Assistant,Legal Secretary,FlexJobs,"Provide administrative support to legal professionals, manage schedules, draft documents, and handle correspondence.","Life and Disability Insurance, Stock Options or Equity Grants, Employee Recognition Programs, Health Insurance, Social and Recreational Activities","['Legal administrative tasks""', 'Document management""', 'Calendar and docketing""', 'Transcription""', 'File organization""', 'Communication with clients and courts""', 'Knowledge of legal terminology""', 'Attention to detail""', 'Multitasking""', 'Computer skills""', 'M""', 'S""', 'Office]""]]]]]']","Provide administrative support to legal professionals, including scheduling appointments and managing calendars. Prepare legal correspondence and forms. Maintain legal databases and records.",Huntsman,"{""Sector"":""Chemicals"",""Industry"":""Chemicals"",""City"":""The Woodlands"",""State"":""Texas"",""Zip"":""77380"",""Website"":""www.huntsman.com"",""Ticker"":""HUN"",""CEO"":""Peter R. Huntsman""}","Legal Assistant Provide administrative support to legal professionals, including scheduling appointments and managing calendars. Prepare legal correspondence and forms. Maintain legal databases and records. Legal administrative tasks Document management Calendar and docketing Transcription File organization Communication with clients and courts Knowledge of legal terminology Attention to detail Multitasking Computer skills , e, g,  MS Office",Legal & Social Services,Legal Services,84.0,2023Q4
58255,776514000000000.0,5 to 12 Years,B.Com,42,65,107,Singapore,Contract,49701,2023-08-16,9,Legal Assistant,Paralegal,Internships.com,"Assist lawyers with legal research, document preparation, and case management in law firms or legal departments.","Legal Assistance, Bonuses and Incentive Programs, Wellness Programs, Employee Discounts, Retirement Plans","['Legal research""', 'Document drafting""', 'Case management""', 'E""', 'Legal databases""', 'Lexis""', 'Nexis""', 'Client communication""', 'Deposition preparation""', 'Trial support""', 'Ethics and confidentiality""', 'Attention to detail""', 'Communication skills""', 'Legal software proficiency]""]]]]]']","Assist lawyers in legal research, document preparation, and case management. Draft legal documents and pleadings. Organize and maintain case files.",Sysco,"{""Sector"":""Food and Beverage"",""Industry"":""Wholesalers: Food and Grocery"",""City"":""Houston"",""State"":""Texas"",""Zip"":""77077"",""Website"":""www.sysco.com"",""Ticker"":""SYY"",""CEO"":""Kevin P. Hourican""}","Legal Assistant Assist lawyers in legal research, document preparation, and case management. Draft legal documents and pleadings. Organize and maintain case files. Legal research Document drafting Case management E, filing Legal databases , e, g,  LexisNexis,  Client communication Deposition preparation Trial support Ethics and confidentiality Attention to detail Communication skills Legal software proficiency",Legal & Social Services,Legal Services,86.0,2023Q3
58307,2507442102402302.0,0 to 14 Years,MCA,55,57,112,Singapore,Part-Time,86489,2023-03-17,9,Legal Advisor,Legal Counsel,SimplyHired,"As a Legal Counsel, your responsibilities include providing legal advice, drafting contracts, and ensuring compliance with laws and regulations. You will represent the company in legal matters, negotiate agreements, and mitigate legal risks. Your role involves staying informed about changes in the law and advising management on legal issues affecting the business.","Life and Disability Insurance, Stock Options or Equity Grants, Employee Recognition Programs, Health Insurance, Social and Recreational Activities","['Legal counsel""', 'Legal advice""', 'Contract negotiation""', 'Legal research""', 'Litigation support""', 'Client representation""', 'Legal writing""', 'Regulatory compliance]""]]]]]']","Provide legal advice and counsel to individuals, businesses, or organizations on various legal matters. Draft legal documents, contracts, and agreements. Represent clients in negotiations and legal proceedings.",Zee Entertainment Enterprises,"{""Sector"":""Media & Entertainment"",""Industry"":""Media and Entertainment"",""City"":""Mumbai"",""State"":""Maharashtra"",""Zip"":""400064"",""Website"":""https://www.zeeentertainment.com/"",""Ticker"":""ZEEL"",""CEO"":""Punit Goenka""}","Legal Advisor Provide legal advice and counsel to individuals, businesses, or organizations on various legal matters. Draft legal documents, contracts, and agreements. Represent clients in negotiations and legal proceedings. Legal counsel Legal advice Contract negotiation Legal research Litigation support Client representation Legal writing Regulatory compliance",Legal & Social Services,Legal Services,84.5,2023Q1
60085,1684883106529062.0,2 to 15 Years,M.Tech,34,57,91,Singapore,Full-Time,91990,2021-10-28,9,Legal Counsel,Corporate Attorney,Jobs2Careers,"Corporate Attorneys provide legal counsel and representation to organizations. They handle legal matters, contracts, mergers, acquisitions, and ensure compliance with laws and regulations relevant to the business.","Childcare Assistance, Paid Time Off (PTO), Relocation Assistance, Flexible Work Arrangements, Professional Development","['Corporate law and regulations""', 'Contract drafting and negotiation""', 'Legal research and analysis""', 'Risk management""', 'Excellent communication and negotiation skills]""]]]]]']","Provide legal advice and guidance on corporate matters, contracts, and regulatory compliance. Draft and review legal documents and agreements. Represent the company in legal proceedings.",Community Health Systems,"{""Sector"":""Healthcare"",""Industry"":""Health Care: Medical Facilities"",""City"":""Franklin"",""State"":""Tennessee"",""Zip"":""37067"",""Website"":""www.chs.net"",""Ticker"":""CYH"",""CEO"":""Tim L. Hingten""}","Legal Counsel Provide legal advice and guidance on corporate matters, contracts, and regulatory compliance. Draft and review legal documents and agreements. Represent the company in legal proceedings. Corporate law and regulations Contract drafting and negotiation Legal research and analysis Risk management Excellent communication and negotiation skills",Legal & Social Services,Legal Services,74.0,2021Q4
60366,1897421824415814.0,1 to 15 Years,PhD,66,56,122,Singapore,Full-Time,70786,2023-03-21,9,Litigation Attorney,Family Law Attorney,SimplyHired,"Family Law Attorneys deal with legal matters related to family relationships. They handle cases like divorce, child custody, adoption, and domestic disputes to provide legal guidance.","Health Insurance, Retirement Plans, Flexible Work Arrangements, Employee Assistance Programs (EAP), Bonuses and Incentive Programs","['Family law""', 'Divorce proceedings""', 'Child custody""', 'Mediation""', 'Legal counseling""', 'Court representation]""]]]]]']","Specialize in family law matters, such as divorce, child custody, and adoption. Advocate for clients in family court proceedings. Offer legal advice and mediation services.",Ross Stores,"{""Sector"":""Retail"",""Industry"":""Specialty Retailers: Apparel"",""City"":""Dublin"",""State"":""California"",""Zip"":""94568"",""Website"":""www.rossstores.com"",""Ticker"":""ROST"",""CEO"":""Barbara Rentler""}","Litigation Attorney Specialize in family law matters, such as divorce, child custody, and adoption. Advocate for clients in family court proceedings. Offer legal advice and mediation services. Family law Divorce proceedings Child custody Mediation Legal counseling Court representation",Legal & Social Services,Legal Services,89.0,2023Q1
63765,2272895171399626.0,2 to 13 Years,B.Com,36,59,95,Singapore,Full-Time,81125,2023-01-07,9,Legal Assistant,Litigation Support Specialist,Internships.com,"Assist in the preparation of litigation cases, manage electronic discovery, and handle technical aspects of trial preparation.","Casual Dress Code, Social and Recreational Activities, Employee Referral Programs, Health and Wellness Facilities, Life and Disability Insurance","['E""', 'Document review and production""', 'Litigation support software""', 'Relativity""', 'Data analysis""', 'Case management""', 'Communication with legal teams""', 'Technical proficiency""', 'Attention to detail""', 'Problem""', 'Legal research skills]""]]]]]']","Specialize in eDiscovery and managing electronic documents for litigation. Collect, review, and produce electronic evidence. Collaborate with legal teams on case strategies.",Verizon Communications,"{""Sector"":""Telecommunications"",""Industry"":""Telecommunications"",""City"":""New York"",""State"":""New York"",""Zip"":""10036"",""Website"":""www.verizon.com"",""Ticker"":""VZ"",""CEO"":""Hans E. Vestberg""}","Legal Assistant Specialize in eDiscovery and managing electronic documents for litigation. Collect, review, and produce electronic evidence. Collaborate with legal teams on case strategies. E, discovery tools and processes Document review and production Litigation support software , e, g,  Relativity,  Data analysis Case management Communication with legal teams Technical proficiency Attention to detail Problem, solving Legal research skills",Legal & Social Services,Legal Services,77.0,2023Q1
71251,1208131149957750.0,4 to 11 Years,M.Tech,39,60,99,Singapore,Full-Time,131442,2022-07-08,9,Legal Assistant,Litigation Support Specialist,Dice,"Assist in the preparation of litigation cases, manage electronic discovery, and handle technical aspects of trial preparation.","Casual Dress Code, Social and Recreational Activities, Employee Referral Programs, Health and Wellness Facilities, Life and Disability Insurance","['E""', 'Document review and production""', 'Litigation support software""', 'Relativity""', 'Data analysis""', 'Case management""', 'Communication with legal teams""', 'Technical proficiency""', 'Attention to detail""', 'Problem""', 'Legal research skills]""]]]]]']","Specialize in eDiscovery and managing electronic documents for litigation. Collect, review, and produce electronic evidence. Collaborate with legal teams on case strategies.",Tractor Supply,"{""Sector"":""Retail"",""Industry"":""Specialty Retailers: Other"",""City"":""Brentwood"",""State"":""Tennessee"",""Zip"":""37027"",""Website"":""www.tractorsupply.com"",""Ticker"":""TSCO"",""CEO"":""Harry A. Lawton Iii""}","Legal Assistant Specialize in eDiscovery and managing electronic documents for litigation. Collect, review, and produce electronic evidence. Collaborate with legal teams on case strategies. E, discovery tools and processes Document review and production Litigation support software , e, g,  Relativity,  Data analysis Case management Communication with legal teams Technical proficiency Attention to detail Problem, solving Legal research skills",Legal & Social Services,Legal Services,79.5,2022Q3
72191,3032755570072956.0,2 to 10 Years,M.Tech,20,62,82,Singapore,Contract,102441,2023-02-26,9,Legal Assistant,Litigation Support Specialist,The Muse,"Assist in the preparation of litigation cases, manage electronic discovery, and handle technical aspects of trial preparation.","Employee Assistance Programs (EAP), Tuition Reimbursement, Profit-Sharing, Transportation Benefits, Parental Leave","['E""', 'Document review and production""', 'Litigation support software""', 'Relativity""', 'Data analysis""', 'Case management""', 'Communication with legal teams""', 'Technical proficiency""', 'Attention to detail""', 'Problem""', 'Legal research skills]""]]]]]']","Specialize in eDiscovery and managing electronic documents for litigation. Collect, review, and produce electronic evidence. Collaborate with legal teams on case strategies.",Conagra Brands,"{""Sector"":""Food"",""Industry"":""Food Consumer Products"",""City"":""Chicago"",""State"":""Illinois"",""Zip"":""60654"",""Website"":""www.conagrabrands.com"",""Ticker"":""CAG"",""CEO"":""Sean M. Connolly""}","Legal Assistant Specialize in eDiscovery and managing electronic documents for litigation. Collect, review, and produce electronic evidence. Collaborate with legal teams on case strategies. E, discovery tools and processes Document review and production Litigation support software , e, g,  Relativity,  Data analysis Case management Communication with legal teams Technical proficiency Attention to detail Problem, solving Legal research skills",Legal & Social Services,Legal Services,72.0,2023Q1
72909,620843000000000.0,5 to 13 Years,M.Tech,65,56,121,Singapore,Intern,71156,2023-07-15,9,Family Lawyer,Child Custody Lawyer,ZipRecruiter,"Child Custody Lawyers specialize in family law, focusing on cases related to child custody and visitation rights. They represent clients in court, provide legal counsel, and advocate for the best interests of children in custody disputes.","Health Insurance, Retirement Plans, Flexible Work Arrangements, Employee Assistance Programs (EAP), Bonuses and Incentive Programs","['Child custody law""', 'Family law""', 'Legal advocacy""', 'Negotiation""', 'Court representation""', 'Legal research""', 'Client counseling""', 'Case preparation]""]]]]]']","Specialize in child custody cases, advocating for the best interests of children. Conduct investigations, gather evidence, and present cases in court. Negotiate parenting plans and visitation schedules.",Brighthouse Financial,"{""Sector"":""Insurance"",""Industry"":""Insurance: Life, Health (Stock)"",""City"":""Charlotte"",""State"":""North Carolina"",""Zip"":""28277"",""Website"":""www.brighthousefinancial.com"",""Ticker"":""BHF"",""CEO"":""""}","Family Lawyer Specialize in child custody cases, advocating for the best interests of children. Conduct investigations, gather evidence, and present cases in court. Negotiate parenting plans and visitation schedules. Child custody law Family law Legal advocacy Negotiation Court representation Legal research Client counseling Case preparation",Legal & Social Services,Legal Services,88.5,2023Q3
76634,762756000000000.0,3 to 15 Years,B.Tech,41,62,103,Singapore,Part-Time,97206,2022-02-19,9,Legal Assistant,Paralegal,The Muse,"Assist lawyers with legal research, document preparation, and case management in law firms or legal departments.","Legal Assistance, Bonuses and Incentive Programs, Wellness Programs, Employee Discounts, Retirement Plans","['Legal research""', 'Document drafting""', 'Case management""', 'E""', 'Legal databases""', 'Lexis""', 'Nexis""', 'Client communication""', 'Deposition preparation""', 'Trial support""', 'Ethics and confidentiality""', 'Attention to detail""', 'Communication skills""', 'Legal software proficiency]""]]]]]']","Assist lawyers in legal research, document preparation, and case management. Draft legal documents and pleadings. Organize and maintain case files.",Hikma Pharmaceuticals,"{""Sector"":""Pharmaceuticals"",""Industry"":""Pharmaceuticals"",""City"":""London"",""State"":""England"",""Zip"":""W1B 3HH"",""Website"":""https://www.hikma.com/"",""Ticker"":""HIK"",""CEO"":""Siggi Olafsson""}","Legal Assistant Assist lawyers in legal research, document preparation, and case management. Draft legal documents and pleadings. Organize and maintain case files. Legal research Document drafting Case management E, filing Legal databases , e, g,  LexisNexis,  Client communication Deposition preparation Trial support Ethics and confidentiality Attention to detail Communication skills Legal software proficiency",Legal & Social Services,Legal Services,82.5,2022Q1
